1657392778;canino: Critical care/hospitalized;10;394;2;AMARANTH FLAKES;80;0
1657392778;canino: Critical care/hospitalized;10;394;2;Acerola juice, raw;10;0
1657393153;felino: Critical care/hospitalized;10;394;4;Amaranth leaves, cooked, boiled, drained, with salt;90;0
1657393153;felino: Critical care/hospitalized;10;394;4;AMARANTH FLAKES;80;0
1657393153;felino: Critical care/hospitalized;10;394;4;Adobo fresco;20;0
1657393486;canino: Lactation 2 mes;65;6410;5;AMARANTH FLAKES;300;1.47;441
1657393486;canino: Lactation 2 mes;65;6410;5;Acerola, (west indian cherry), raw;20;0.1333;2.6667
1657395877;canino: Lactation 2 mes;65;6410;6;Amaranth leaves, cooked, boiled, drained, with salt;90;0.0875;7.875
1657395877;canino: Lactation 2 mes;65;6410;6;AMARANTH FLAKES;300;1.47;441
1657401378;avicola;10;394;7;Amaranth leaves, cooked, boiled, drained, with salt;90;0.0875;7.875
1657401378;avicola;10;394;7;AMARANTH FLAKES;80;1.47;117.6
1657401795;canino: Critical care/hospitalized;10;394;8;AMARANTH FLAKES;80;1.47;117.6
1657401795;canino: Critical care/hospitalized;10;394;8;Amaranth;40;1.558;62.32
1657407307;canino: Lactation 1 mes;10;394;9;Amaranth leaves, cooked, boiled, drained, with salt;90;0.0875;7.875
1657407307;canino: Lactation 1 mes;10;394;9;AMARANTH FLAKES;80;1.47;117.6
